bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
1.0,2.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8807b519013bad39b67bdae42d54e490-p_e.jpg,True,True,False,False,False,False,False,False,33.5582,{},852.0,-112.11724,1800.0,,1800.0,,1380,False,AZ,8240 N 27th Ave,223300.0,59191000,239700,85051,7750928
2.0,4.0,Phoenix,USA,USD,1739433600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/aee5893604cd29c97e00ab4dbb24154c-p_e.jpg,True,True,False,False,False,False,False,False,33.481873,{},1750.0,-111.98905,5595.0,-355,5595.0,$355 (Feb 13),3439,False,AZ,4302 E Catalina Dr,601700.0,146781000,790600,85018,7563814
2.0,3.0,Phoenix,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2b206d897e86f57d65272e9a94752fac-p_e.jpg,True,True,False,False,False,False,False,False,33.651318,{},1301.0,-112.087494,2000.0,-100,2000.0,$100 (Feb 12),1970,False,AZ,18205 N 11th Dr,314200.0,172651000,388700,85023,7957059
3.0,3.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c6dd9b704c488d5b0c1e46e16ed12e46-p_e.jpg,True,True,False,False,False,False,False,False,33.717598,{},2470.0,-112.10605,3250.0,,3250.0,,2979,False,AZ,25533 N 21st Ave,521000.0,885177000,616400,85085,284861262
3.0,5.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1fa2deeed87914f673c53bb01aeef8e4-p_e.jpg,True,True,False,False,False,False,False,False,33.587673,{},2674.0,-112.055786,3800.0,,3800.0,,3607,False,AZ,1217 E Shangri La Rd,566800.0,3507463000,645600,85020,95073533
2.0,4.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fe016eb08e56a0d28f4c6da5423fa9c0-p_e.jpg,True,True,False,False,False,False,False,False,33.632282,{},1887.0,-111.979614,4500.0,,4500.0,,3247,False,AZ,4707 E Le Marche Ave,564100.0,906018000,676800,85032,8020296
4.0,3.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/696ef06a37bf529d4ba9d800caa4b803-p_e.jpg,True,True,False,False,False,False,False,False,33.49302,{},2097.0,-111.97697,8999.0,,8999.0,,4311,False,AZ,4826 E Piccadilly Rd,671700.0,676851000,1265500,85018,7565790
2.0,3.0,Phoenix,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bbd7c9dc8ee4be0676c937bf9fd226fb-p_e.jpg,True,True,False,False,False,False,False,False,33.502563,{},1452.0,-112.07734,2495.0,-100,2495.0,$100 (Feb 12),2474,False,AZ,4511 N Valerie Pl,426200.0,480189000,452100,85013,7770088
2.0,3.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a47f84b3c53ea4ab4ac02cfad6aff3a9-p_e.jpg,True,True,False,False,False,False,False,False,33.513783,{},1624.0,-112.08339,2999.0,,2999.0,,2764,False,AZ,715 W Oregon Ave,461700.0,1079479000,545100,85013,7776470
1.0,2.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e225be4e7f54578da275f0ce6b71cfad-p_e.jpg,True,True,False,False,False,False,False,False,33.46826,{},1218.0,-112.07631,2950.0,,2950.0,,2249,False,AZ,107 W Granada Rd,639100.0,1615841000,800500,85003,7537303
